               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.059761,            0.045414,           0.0078694,             0.43592,             0.29634,             0.28951,             0.13235,            0.068884,             0.02899,            0.017983,            0.002872,            0.002872,            0.002872
                  38,            0.058912,            0.043904,           0.0080178,             0.40894,             0.30523,              0.2949,             0.13885,            0.068441,            0.028734,            0.019484,            0.002674,            0.002674,            0.002674
                  39,            0.058894,            0.043215,           0.0071837,             0.41808,             0.28222,             0.28103,             0.13823,             0.06875,            0.028911,             0.01848,            0.002476,            0.002476,            0.002476
                  40,            0.057283,             0.04478,           0.0066378,             0.42132,             0.31592,              0.2924,             0.14563,            0.068129,            0.029135,            0.018174,            0.002278,            0.002278,            0.002278
                  41,             0.05669,            0.041087,            0.011555,               0.398,             0.34496,             0.30207,             0.14448,             0.06814,            0.029014,            0.017619,             0.00208,             0.00208,             0.00208
                  42,            0.054593,             0.04044,           0.0093565,              0.3811,             0.32402,             0.30578,              0.1463,            0.068707,            0.028916,             0.01857,            0.001882,            0.001882,            0.001882
                  43,            0.058399,            0.045365,            0.006792,             0.49636,              0.2803,             0.29416,             0.14469,            0.068199,             0.02894,            0.018939,            0.001684,            0.001684,            0.001684
                  44,            0.056763,            0.044664,            0.011058,             0.51226,             0.28563,             0.30719,              0.1542,            0.067904,            0.029398,            0.019153,            0.001486,            0.001486,            0.001486
                  45,            0.056412,            0.042278,           0.0088456,             0.45332,             0.29796,             0.30601,             0.15457,            0.067665,             0.02951,            0.019375,            0.001288,            0.001288,            0.001288
                  46,            0.054605,             0.04442,           0.0072683,             0.45146,             0.32384,             0.30297,             0.16497,            0.066896,            0.029219,            0.019215,             0.00109,             0.00109,             0.00109
                  47,            0.056916,            0.043342,           0.0083535,             0.44595,             0.31872,             0.30527,             0.15512,            0.067227,            0.029488,            0.019561,            0.000892,            0.000892,            0.000892
                  48,            0.054408,             0.04065,           0.0055031,             0.47068,             0.31699,             0.29829,             0.15448,            0.067396,            0.029552,            0.020173,            0.000694,            0.000694,            0.000694
                  49,            0.056067,            0.041461,           0.0081795,              0.4638,             0.31271,             0.30371,             0.15721,            0.067257,            0.029527,            0.019992,            0.000496,            0.000496,            0.000496
