               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.128,            0.031598,            0.053597,           0.0012039,              0.0842,          0.00089456,          0.00025018,             0.12638,            0.020791,            0.054918,              0.0892,              0.0012,              0.0012
                   1,             0.12049,            0.037745,             0.05237,           0.0020156,             0.16131,           0.0018258,          0.00059478,             0.11773,            0.022885,            0.054433,            0.077488,           0.0024876,           0.0024876
                   2,             0.11247,            0.042638,             0.05079,           0.0032946,             0.26081,           0.0066697,           0.0021382,             0.10944,            0.024751,            0.051924,            0.065762,           0.0037624,           0.0037624
                   3,             0.10603,            0.046309,             0.04553,            0.024317,             0.15405,            0.027394,             0.01103,             0.10483,            0.025699,            0.048051,            0.054024,           0.0050243,           0.0050243
                   4,            0.099756,            0.047728,            0.042769,            0.065537,             0.10586,            0.045098,            0.017915,             0.10095,            0.026745,            0.044458,            0.042273,           0.0062733,           0.0062733
                   5,            0.097051,            0.048383,            0.040754,               0.226,             0.15089,             0.04479,             0.01618,            0.096807,            0.029306,             0.04054,            0.030509,           0.0075094,           0.0075094
                   6,            0.094566,            0.050662,            0.036923,            0.022647,             0.13991,            0.022443,           0.0071515,            0.099562,            0.028771,            0.039272,            0.018733,           0.0087327,           0.0087327
                   7,            0.093781,            0.049508,            0.034266,             0.57511,            0.035482,            0.034835,            0.011806,            0.095706,            0.031533,            0.038329,           0.0096535,           0.0096535,           0.0096535
                   8,            0.089749,            0.047653,             0.03501,            0.063105,             0.12283,            0.045252,            0.016352,            0.092944,            0.027926,            0.037603,           0.0096535,           0.0096535,           0.0096535
                   9,            0.087028,             0.05289,            0.031536,             0.24458,             0.13698,            0.057274,            0.017499,            0.091473,            0.029066,            0.037074,            0.009604,            0.009604,            0.009604
                  10,            0.083901,            0.052686,            0.029644,            0.057624,             0.19435,            0.047451,            0.015431,            0.088422,            0.034014,            0.037115,           0.0095545,           0.0095545,           0.0095545
                  11,            0.082288,            0.047313,            0.029203,            0.068749,             0.24076,            0.078995,            0.026814,            0.087071,            0.031999,            0.034456,            0.009505,            0.009505,            0.009505
                  12,            0.081846,            0.050529,            0.026709,            0.094247,             0.20008,            0.078445,            0.026642,            0.084241,            0.033978,            0.030407,           0.0094555,           0.0094555,           0.0094555
                  13,            0.079852,             0.04752,            0.024783,             0.46716,             0.17499,             0.11995,            0.043713,            0.084817,            0.029278,            0.030359,            0.009406,            0.009406,            0.009406
                  14,            0.076757,            0.050877,            0.022409,             0.27254,              0.1589,            0.081138,            0.026836,            0.084191,            0.032431,            0.028548,           0.0093565,           0.0093565,           0.0093565
                  15,            0.077123,            0.044251,            0.021874,             0.52134,              0.1817,             0.15876,             0.06075,            0.081723,            0.027808,             0.02519,            0.009307,            0.009307,            0.009307
                  16,            0.077697,            0.049782,            0.020061,              0.5223,             0.14736,              0.1299,            0.042811,            0.082247,            0.028503,            0.026143,           0.0092575,           0.0092575,           0.0092575
                  17,            0.076127,            0.046135,            0.017001,               0.415,             0.16996,             0.10043,            0.032492,            0.083507,            0.028893,            0.024286,            0.009208,            0.009208,            0.009208
                  18,            0.073489,            0.047341,            0.016635,             0.38571,             0.17854,             0.13028,            0.059786,            0.080418,             0.03117,            0.028434,           0.0091585,           0.0091585,           0.0091585
                  19,            0.072092,            0.049184,            0.015296,             0.61686,             0.13078,             0.11483,            0.045117,            0.082099,            0.032734,            0.023536,            0.009109,            0.009109,            0.009109
                  20,            0.072086,            0.044927,            0.014768,             0.21384,             0.23595,             0.17267,            0.069331,            0.078069,            0.028481,            0.024001,           0.0090595,           0.0090595,           0.0090595
                  21,            0.071353,            0.048017,            0.013299,             0.42263,             0.19171,             0.16472,            0.069337,            0.080231,            0.029915,            0.023104,             0.00901,             0.00901,             0.00901
                  22,             0.07265,            0.044494,            0.012596,             0.44855,               0.223,             0.21239,            0.083311,            0.077566,            0.027721,            0.020273,           0.0089605,           0.0089605,           0.0089605
                  23,            0.071363,            0.043791,            0.010488,             0.40898,             0.28739,             0.20778,            0.082762,            0.076386,            0.027372,            0.020967,            0.008911,            0.008911,            0.008911
                  24,            0.070032,            0.045684,            0.012237,             0.47675,             0.17329,             0.16948,            0.074949,            0.075478,             0.03119,            0.025761,           0.0088615,           0.0088615,           0.0088615
                  25,            0.065174,            0.042291,            0.012857,             0.33402,             0.27707,             0.20965,            0.075969,            0.076209,            0.027584,            0.022062,            0.008812,            0.008812,            0.008812
                  26,            0.064606,            0.044183,            0.012269,             0.47008,             0.19924,             0.19521,            0.085587,            0.074779,            0.029058,              0.0218,           0.0087625,           0.0087625,           0.0087625
                  27,            0.066367,            0.044059,            0.011968,             0.40071,             0.25217,             0.17365,            0.070468,            0.074612,             0.02888,            0.024013,            0.008713,            0.008713,            0.008713
                  28,            0.067259,            0.045404,           0.0090618,              0.4922,             0.20799,             0.19323,            0.085827,            0.073188,            0.028659,            0.023835,           0.0086635,           0.0086635,           0.0086635
                  29,            0.065546,            0.041901,           0.0091028,             0.40532,             0.24248,              0.1938,            0.080513,            0.071646,            0.029367,            0.021473,            0.008614,            0.008614,            0.008614
                  30,             0.06554,            0.042842,            0.010244,             0.22903,             0.20461,              0.1883,            0.072508,             0.07501,            0.028497,            0.022298,           0.0085645,           0.0085645,           0.0085645
                  31,            0.065732,            0.043977,           0.0081414,             0.26571,             0.29096,             0.23106,              0.0956,            0.076099,            0.029393,            0.023408,            0.008515,            0.008515,            0.008515
                  32,            0.064055,             0.04614,            0.010928,             0.32418,             0.30153,             0.24889,            0.097672,            0.072954,            0.027504,            0.017911,           0.0084655,           0.0084655,           0.0084655
                  33,            0.061709,            0.042704,           0.0075886,             0.37749,              0.2694,             0.24599,            0.098935,            0.070708,            0.029359,            0.020534,            0.008416,            0.008416,            0.008416
                  34,            0.064143,            0.044528,           0.0099706,             0.25611,             0.26598,             0.19182,            0.088769,            0.073304,            0.029249,            0.019754,           0.0083665,           0.0083665,           0.0083665
                  35,            0.061963,            0.040345,            0.010986,              0.2755,             0.21138,             0.20799,               0.079,            0.074721,             0.02883,            0.020786,            0.008317,            0.008317,            0.008317
                  36,            0.066503,            0.043801,            0.008678,             0.48792,              0.2386,             0.21696,            0.093318,            0.074202,            0.029867,            0.020836,           0.0082675,           0.0082675,           0.0082675
                  37,            0.062714,             0.04479,           0.0072428,             0.20555,             0.29831,             0.18946,            0.072007,            0.072376,            0.030539,            0.017071,            0.008218,            0.008218,            0.008218
                  38,            0.060901,            0.043252,           0.0069124,             0.29809,             0.30784,              0.2386,             0.10601,            0.071277,            0.029232,            0.016523,           0.0081685,           0.0081685,           0.0081685
                  39,            0.060794,             0.04259,           0.0066614,             0.54233,             0.25195,             0.26344,             0.11482,            0.069729,            0.029763,            0.018312,            0.008119,            0.008119,            0.008119
                  40,            0.060594,            0.043355,           0.0064545,             0.38336,               0.341,             0.26885,             0.11321,            0.070388,            0.029589,            0.017599,           0.0080695,           0.0080695,           0.0080695
                  41,            0.060935,            0.040134,           0.0084675,             0.49616,             0.28145,             0.27197,              0.1184,            0.070484,            0.030211,            0.017495,             0.00802,             0.00802,             0.00802
                  42,            0.057067,            0.039915,           0.0077512,             0.35639,             0.26729,             0.23593,             0.11516,            0.072229,            0.031232,            0.021629,           0.0079705,           0.0079705,           0.0079705
                  43,            0.062015,            0.045216,            0.006896,              0.3709,             0.23283,             0.21409,             0.10072,             0.07202,            0.031093,            0.025832,            0.007921,            0.007921,            0.007921
                  44,            0.059594,            0.045696,           0.0099346,             0.30181,              0.2688,             0.22311,              0.1021,            0.071718,            0.030697,            0.024266,           0.0078715,           0.0078715,           0.0078715
                  45,            0.060399,            0.041795,           0.0085237,             0.35165,             0.29435,             0.21172,            0.092663,            0.072596,            0.030811,            0.023355,            0.007822,            0.007822,            0.007822
                  46,            0.056678,            0.043246,           0.0060291,             0.46208,             0.25714,             0.24068,               0.108,            0.069629,            0.031564,            0.020987,           0.0077725,           0.0077725,           0.0077725
                  47,            0.060134,            0.043428,           0.0082881,             0.45807,             0.27713,             0.25234,             0.12285,            0.069977,            0.030779,            0.021229,            0.007723,            0.007723,            0.007723
                  48,            0.057603,            0.040329,           0.0048856,             0.48962,             0.28736,             0.26935,             0.13505,            0.069828,            0.030466,             0.01997,           0.0076735,           0.0076735,           0.0076735
                  49,            0.058659,             0.04014,           0.0071529,             0.43254,             0.29327,             0.26847,             0.12692,            0.070537,            0.031588,            0.018546,            0.007624,            0.007624,            0.007624
                  50,             0.05507,             0.04172,           0.0054983,             0.45173,             0.24601,             0.26693,              0.1259,            0.070568,            0.031852,            0.018122,           0.0075745,           0.0075745,           0.0075745
                  51,            0.057433,            0.041823,           0.0049635,             0.45231,             0.31326,             0.28394,              0.1241,            0.071872,            0.030611,             0.01827,            0.007525,            0.007525,            0.007525
                  52,            0.056836,            0.041189,           0.0070392,             0.53911,             0.27033,             0.28774,              0.1223,            0.071133,            0.029763,            0.017212,           0.0074755,           0.0074755,           0.0074755
                  53,            0.056831,            0.040982,           0.0052513,             0.43915,             0.28439,             0.25752,             0.13283,            0.070914,            0.030946,            0.019561,            0.007426,            0.007426,            0.007426
                  54,            0.054867,            0.044089,           0.0059034,             0.40656,             0.30719,             0.29011,              0.1375,            0.070471,             0.03088,            0.017096,           0.0073765,           0.0073765,           0.0073765
                  55,            0.057299,            0.039334,            0.005053,             0.45768,             0.28981,             0.26612,             0.12982,            0.069342,            0.030785,            0.017663,            0.007327,            0.007327,            0.007327
                  56,            0.052587,            0.038205,           0.0049471,             0.35218,             0.30812,             0.25753,             0.12079,            0.069141,            0.031747,             0.01783,           0.0072775,           0.0072775,           0.0072775
                  57,            0.052865,            0.038576,           0.0048529,             0.47847,             0.28614,             0.28867,              0.1316,            0.069893,            0.030436,            0.017567,            0.007228,            0.007228,            0.007228
                  58,            0.054313,            0.039612,           0.0051165,             0.53218,             0.31991,             0.32207,             0.14531,            0.068882,            0.028845,            0.018094,           0.0071785,           0.0071785,           0.0071785
                  59,            0.054176,            0.037861,           0.0044505,             0.50317,             0.31348,             0.30427,             0.14932,            0.069424,            0.029315,            0.017321,            0.007129,            0.007129,            0.007129
                  60,            0.054152,            0.038016,           0.0043495,             0.53483,             0.36223,             0.31813,             0.14492,            0.069808,             0.02996,            0.018048,           0.0070795,           0.0070795,           0.0070795
                  61,            0.052601,            0.037318,           0.0042466,             0.45702,             0.29742,             0.27785,             0.13552,            0.070164,            0.029572,            0.020255,             0.00703,             0.00703,             0.00703
                  62,            0.051953,            0.037941,           0.0040663,              0.4468,             0.29545,             0.27403,             0.13715,            0.070041,            0.030494,            0.020615,           0.0069805,           0.0069805,           0.0069805
                  63,            0.052715,            0.036513,            0.005043,             0.42904,             0.31791,             0.29502,             0.14784,            0.069183,            0.030505,            0.021323,            0.006931,            0.006931,            0.006931
                  64,             0.05375,            0.040359,           0.0057179,             0.38816,             0.31033,             0.28485,             0.14026,             0.06911,            0.031509,            0.022094,           0.0068815,           0.0068815,           0.0068815
                  65,            0.051847,            0.037808,           0.0039048,             0.38849,             0.28705,             0.25354,             0.12817,            0.071566,            0.030959,            0.023135,            0.006832,            0.006832,            0.006832
                  66,            0.053382,             0.04183,           0.0046463,             0.46676,             0.30761,             0.26692,             0.13338,            0.070037,             0.03163,            0.020592,           0.0067825,           0.0067825,           0.0067825
                  67,            0.054594,            0.040443,           0.0038809,             0.39484,             0.31027,             0.25322,             0.11243,            0.072255,            0.031406,            0.018634,            0.006733,            0.006733,            0.006733
                  68,             0.05536,            0.038347,           0.0040762,             0.50376,             0.29253,              0.2821,             0.13643,            0.069487,            0.031693,            0.017854,           0.0066835,           0.0066835,           0.0066835
